timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688499442471,559,Create User,502,Bad Gateway,DB 1-87,text,false,,513,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,559,0,205
1688499442400,633,Create User,200,OK,DB 1-64,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,633,0,302
1688499442481,939,Create User,200,OK,DB 1-90,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,939,0,199
1688499442403,1135,Create User,200,OK,DB 1-65,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1135,0,301
1688499442565,974,Create User,200,OK,DB 1-117,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,974,0,220
1688499442601,940,Create User,200,OK,DB 1-129,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,940,0,207
1688499442716,976,Create User,200,OK,DB 1-167,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,976,0,162
1688499442499,1305,Create User,200,OK,DB 1-96,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1305,0,183
1688499442462,1342,Create User,200,OK,DB 1-84,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1342,0,214
1688499442456,1349,Create User,200,OK,DB 1-82,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1349,0,246
1688499442475,1331,Create User,200,OK,DB 1-88,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1331,0,225
1688499442376,1430,Create User,200,OK,DB 1-56,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1430,0,318
1688499442434,1373,Create User,200,OK,DB 1-75,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1373,0,246
1688499442379,1433,Create User,200,OK,DB 1-57,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1433,0,330
1688499442336,1479,Create User,200,OK,DB 1-43,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1479,0,368
1688499442443,1375,Create User,200,OK,DB 1-78,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1375,0,257
1688499442315,1504,Create User,200,OK,DB 1-36,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1504,0,399
1688499442385,1434,Create User,200,OK,DB 1-59,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1434,0,347
1688499442412,1408,Create User,200,OK,DB 1-68,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1408,0,304
1688499442324,1496,Create User,200,OK,DB 1-39,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1496,0,419
1688499442204,1616,Create User,200,OK,DB 1-1,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1616,0,477
1688499442415,1405,Create User,200,OK,DB 1-69,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1405,0,278
1688499442358,1462,Create User,200,OK,DB 1-50,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1462,0,354
1688499442308,1513,Create User,200,OK,DB 1-34,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1513,0,412
1688499442465,1357,Create User,200,OK,DB 1-85,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1357,0,230
1688499442459,1365,Create User,200,OK,DB 1-83,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1365,0,223
1688499442850,981,Create User,200,OK,DB 1-209,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,981,0,137
1688499442394,1437,Create User,200,OK,DB 1-62,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1437,0,312
1688499442545,1297,Create User,200,OK,DB 1-111,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1297,0,228
1688499442490,1353,Create User,200,OK,DB 1-93,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1353,0,188
1688499442330,1513,Create User,200,OK,DB 1-41,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1513,0,385
1688499442397,1448,Create User,200,OK,DB 1-63,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1448,0,298
1688499442478,1369,Create User,200,OK,DB 1-89,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1369,0,202
1688499442428,1420,Create User,200,OK,DB 1-73,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1420,0,267
1688499442227,1621,Create User,200,OK,DB 1-8,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1621,0,509
1688499442493,1356,Create User,200,OK,DB 1-94,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1356,0,202
1688499442484,1366,Create User,200,OK,DB 1-91,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1366,0,197
1688499442363,1498,Create User,200,OK,DB 1-52,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1498,0,343
1688499442224,1638,Create User,200,OK,DB 1-7,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1638,0,496
1688499442333,1530,Create User,200,OK,DB 1-42,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1530,0,371
1688499442468,1395,Create User,200,OK,DB 1-86,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1395,0,225
1688499442255,1608,Create User,200,OK,DB 1-17,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1608,0,483
1688499442528,1336,Create User,200,OK,DB 1-105,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1336,0,227
1688499442293,1571,Create User,200,OK,DB 1-29,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1571,0,447
1688499442290,1574,Create User,200,OK,DB 1-28,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1574,0,449
1688499442487,1377,Create User,200,OK,DB 1-92,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1377,0,213
1688499442287,1578,Create User,200,OK,DB 1-27,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1578,0,458
1688499442515,1350,Create User,200,OK,DB 1-101,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1350,0,228
1688499442342,1523,Create User,200,OK,DB 1-45,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1523,0,360
1688499442278,1587,Create User,200,OK,DB 1-24,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1587,0,436
1688499442409,1456,Create User,200,OK,DB 1-67,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1456,0,297
1688499442530,1336,Create User,200,OK,DB 1-106,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1336,0,225
1688499442345,1521,Create User,200,OK,DB 1-46,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1521,0,364
1688499442508,1358,Create User,200,OK,DB 1-99,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1358,0,247
1688499442252,1617,Create User,200,OK,DB 1-16,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1617,0,487
1688499442452,1418,Create User,200,OK,DB 1-81,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1418,0,243
1688499442449,1440,Create User,200,OK,DB 1-80,text,true,,659,416,310,310,https://8laxy1qrxi.execute-api.us-east-1.amazonaws.com/dev/create_user,1440,0,233
